Kind,Name,Cyclomatic,RatioCommentToCode,MaxInheritanceTree,CountDeclInstanceMethod,CountDeclMethod,CountClassCoupled,PercentLackOfCohesion,CountDeclClass,CountDeclFile,CountLineCode
File,"BasicJsonParser.java",,0.23,,6,8,,,1,,120
File,"BasicJsonParserTests.java",,2.86,,1,1,,,1,,7
File,"BasicJsonTester.java",,1.69,,13,13,,,1,,58
File,"BasicJsonTesterTests.java",,0.34,,8,8,,,1,,58
File,"BasicOAuth2SsoConfigurationTests.java",,0.40,,3,3,,,2,,58
File,"BatchAutoConfiguration.java",,0.27,,9,9,,,2,,121
File,"BatchAutoConfigurationTests.java",,0.07,,31,31,,,10,,394
File,"BatchDatabaseInitializer.java",,0.70,,4,4,,,1,,30
File,"BatchProperties.java",,0.70,,10,10,,,3,,53
File,"BeanCurrentlyInCreationFailureAnalyzer.java",,0.20,,8,10,,,2,,106
File,"BeanCurrentlyInCreationFailureAnalyzerTests.java",,0.09,,17,17,,,15,,212
File,"BeanDefinitionLoader.java",,0.31,,19,19,,,3,,229
File,"BeanDefinitionLoaderTests.java",,0.21,,13,13,,,1,,101
File,"BeanNotOfRequiredTypeFailureAnalyzer.java",,0.62,,2,2,,,1,,34
File,"BeanNotOfRequiredTypeFailureAnalyzerTests.java",,0.26,,9,9,,,6,,77
File,"BeanTypeRegistry.java",,0.25,,21,23,,,3,,267
File,"BeansEndpoint.java",,0.40,,7,7,,,2,,60
File,"BeansEndpointContextHierarchyTests.java",,0.22,,9,9,,,4,,92
File,"BeansEndpointTests.java",,0.74,,3,3,,,2,,27
File,"BindFailureAnalyzer.java",,0.81,,1,1,,,1,,26
File,"BindFailureAnalyzerTests.java",,0.21,,13,14,,,4,,95
File,"BindingPreparationTests.java",,0.11,,32,32,,,9,,256
File,"BitronixDependentBeanFactoryPostProcessor.java",,0.55,,5,5,,,1,,49
File,"BitronixDependentBeanFactoryPostProcessorTests.java",,0.44,,4,5,,,2,,45
File,"BitronixJtaConfiguration.java",,0.27,,7,8,,,2,,93
File,"BitronixXAConnectionFactoryWrapper.java",,1.69,,1,1,,,1,,13
File,"BitronixXAConnectionFactoryWrapperTests.java",,1.18,,1,1,,,1,,17
File,"BitronixXADataSourceWrapper.java",,1.83,,1,1,,,1,,12
File,"BitronixXADataSourceWrapperTests.java",,1.18,,1,1,,,1,,17
File,"Book.java",,0.88,,2,2,,,1,,17
File,"Book.java",,0.75,,11,11,,,1,,69
File,"BookRepository.java",,3.75,,0,0,,,1,,4
